,id,created,superceded_id,valid,score,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,pre_pt_position,post_pt_position
1039,25652705,2022-11-17 14:28:59.843347+00:00,,t,12,74031218416814686,648518346496543356,74031218416790573,648518346481055200,[57765 99927  2004],[57765 99923  2002]
1040,25652740,2022-11-17 14:28:59.843347+00:00,,t,26,74031218416866465,648518346485825406,74031218416866467,648518346481055200,[57821 99339  2031],[57801 99341  2030]
1041,25652830,2022-11-17 14:28:59.843347+00:00,,t,23,74031218416875994,648518346485825406,74031218416857012,648518346481055200,[57901 99385  2023],[57893 99421  2024]
1042,29262350,2022-11-17 14:28:59.843347+00:00,,t,21,73890893849338482,648518346494501431,73890893849352610,648518346481055200,[ 55187 112577   3169],[ 55153 112567   3169]
1043,29262424,2022-11-17 14:28:59.843347+00:00,,t,26,73890893849311081,648518346485825406,73890893849330331,648518346481055200,[ 55269 112211   3160],[ 55255 112231   3162]
1044,29327922,2022-11-17 14:28:59.843347+00:00,,t,29,74031424978183337,648518346491133985,74031424978184630,648518346481055200,[ 57831 105729   2823],[ 57855 105735   2824]
1045,25858567,2022-11-17 14:28:59.843347+00:00,,t,37,73890618233375455,648518346497667574,73890618300075796,648518346481055200,[ 55025 103577   1800],[ 55025 103583   1803]
1046,25858164,2022-11-17 14:28:59.843347+00:00,,t,48,73890618300464990,648518346488541368,73890618300455661,648518346481055200,[ 54321 104289   1920],[ 54341 104269   1921]
1047,25858272,2022-11-17 14:28:59.843347+00:00,,t,62,73890687019885470,648518346482131092,73890618300432667,648518346481055200,[ 54417 104457   1918],[ 54445 104447   1919]
1048,25860882,2022-11-17 14:28:59.843347+00:00,,t,24,73961056368114777,648518346489634764,73961056434746439,648518346481055200,[ 55545 106361   3081],[ 55515 106385   3082]
1049,25860911,2022-11-17 14:28:59.843347+00:00,,t,21,73961056434876554,648518346492072331,73961056434876635,648518346481055200,[ 55529 106473   3092],[ 55561 106485   3093]
1050,37653622,2022-11-17 14:28:59.843347+00:00,,t,36,73961262190734956,648518346486128297,73961262190737533,648518346481055200,[ 55421 112315   2352],[ 55439 112333   2353]
1051,37653641,2022-11-17 14:28:59.843347+00:00,,t,83,73961262190792139,648518346515155271,73961262190764216,648518346481055200,[ 55463 112277   2376],[ 55489 112253   2376]
1052,37671010,2022-11-17 14:28:59.843347+00:00,,t,17,74172024624675372,648518346483115084,74172024624680584,648518346481055200,[ 62651 102145   2013],[ 62663 102183   2014]
1053,29427768,2022-11-17 14:28:59.843347+00:00,,t,59,73890962501549821,648518346514599623,73890962501586892,648518346481055200,[ 54131 113387   2997],[ 54151 113411   2996]
1054,37671024,2022-11-17 14:28:59.843347+00:00,,t,80,74172024624611028,648518346465918000,74172024624613117,648518346481055200,[ 62683 102325   1988],[ 62709 102301   1987]
1055,37671034,2022-11-17 14:28:59.843347+00:00,,t,40,74172024624633186,648518346489313625,74172024624650755,648518346481055200,[ 62711 102285   2003],[ 62721 102319   2004]
1056,37671074,2022-11-17 14:28:59.843347+00:00,,t,53,74172024624581729,648518346487869652,74172024624608281,648518346481055200,[ 62835 102281   1981],[ 62811 102251   1982]
1057,29427380,2022-11-17 14:28:59.843347+00:00,,t,40,73890962501530206,648518346507309433,73890962501530300,648518346481055200,[ 53561 113569   2973],[ 53587 113549   2973]
1058,37670941,2022-11-17 14:28:59.843347+00:00,,t,33,74172024624787260,648518346483115084,74172024624934281,648518346481055200,[ 62477 101999   2056],[ 62509 102013   2057]
1059,29448747,2022-11-17 14:28:59.843347+00:00,,t,47,73890549581110452,648518346485574781,73890549581110910,648518346481055200,[ 54195 101967   1926],[ 54209 101975   1928]
1060,29479430,2022-11-17 14:28:59.843347+00:00,,t,39,74172230849809210,648518346509104762,74172230849985955,648518346481055200,[ 61517 106865   2061],[ 61543 106875   2063]
1061,26175552,2022-11-17 14:28:59.843347+00:00,,t,36,74242462423780944,648518346486128297,74242462423802447,648518346481055200,[ 64561 103541   2622],[ 64597 103531   2622]
1062,26175579,2022-11-17 14:28:59.843347+00:00,,t,31,74242462423807383,648518346509104762,74242462423778397,648518346481055200,[ 64643 103571   2624],[ 64637 103537   2625]
1063,26265082,2022-11-17 14:28:59.843347+00:00,,t,35,74101655880114032,648518346497667574,74101655880250454,648518346481055200,[ 60547 101101   1934],[ 60521 101073   1935]
1064,26265094,2022-11-17 14:28:59.843347+00:00,,t,17,74101655880179756,648518346495874250,74101655880075703,648518346481055200,[ 60541 100385   1933],[ 60563 100407   1933]
1065,26265147,2022-11-17 14:28:59.843347+00:00,,t,24,74101655880180508,648518346509104762,74101655880180812,648518346481055200,[ 60731 100395   1930],[ 60699 100417   1930]
1066,26265179,2022-11-17 14:28:59.843347+00:00,,t,25,74101655880084827,648518346486128297,74101655880086131,648518346481055200,[ 60841 100539   1932],[ 60839 100573   1931]
1067,26265223,2022-11-17 14:28:59.843347+00:00,,t,16,74101655880469179,648518346501142157,74101655880451819,648518346481055200,[ 61009 101179   2004],[ 60973 101195   2005]
1068,26265228,2022-11-17 14:28:59.843347+00:00,,t,31,74101655880288197,648518346486128297,74101655880319561,648518346481055200,[ 60993 100363   1940],[ 60993 100387   1942]
1069,26425017,2022-11-17 14:28:59.843347+00:00,,t,53,73960986909898693,648518346501741897,73960986910153991,648518346481055200,[ 57037 102751   1562],[ 57067 102745   1563]
1070,26425029,2022-11-17 14:28:59.843347+00:00,,t,59,73960986910159838,648518346501741897,73960986910192155,648518346481055200,[ 57043 102865   1568],[ 57075 102865   1569]
1071,26425037,2022-11-17 14:28:59.843347+00:00,,t,58,73960986910206897,648518346501741897,73960986910196813,648518346481055200,[ 57047 102839   1579],[ 57077 102837   1581]
1072,26424399,2022-11-17 14:28:59.843347+00:00,,t,41,73960986910319570,648518346482131092,73960986910336575,648518346481055200,[ 56387 102719   1626],[ 56421 102701   1627]
1073,26424405,2022-11-17 14:28:59.843347+00:00,,t,38,73960986910378457,648518346506626718,73960986910369225,648518346481055200,[ 56449 102897   1646],[ 56429 102939   1647]
1074,26424351,2022-11-17 14:28:59.843347+00:00,,t,19,73960986910336653,648518346482131092,73960986910311864,648518346481055200,[ 56359 102739   1624],[ 56373 102745   1623]
1075,26424883,2022-11-17 14:28:59.843347+00:00,,t,22,73960986910261932,648518346494080626,73960986910269650,648518346481055200,[ 56905 102977   1609],[ 56923 102955   1609]
1076,26424557,2022-11-17 14:28:59.843347+00:00,,t,17,73960986910348285,648518346506626718,73960986910324432,648518346481055200,[ 56603 102765   1635],[ 56581 102787   1635]
1077,26424583,2022-11-17 14:28:59.843347+00:00,,t,12,73960986910299289,648518346494080626,73960986910274786,648518346481055200,[ 56589 102837   1613],[ 56609 102803   1613]
1078,26424668,2022-11-17 14:28:59.843347+00:00,,t,27,73960986910322134,648518346494080626,73960986910304366,648518346481055200,[ 56703 102889   1626],[ 56701 102855   1626]
1079,26424693,2022-11-17 14:28:59.843347+00:00,,t,25,73960986910373768,648518346506626718,73960986910366426,648518346481055200,[ 56721 102793   1644],[ 56735 102767   1644]
1080,26424814,2022-11-17 14:28:59.843347+00:00,,t,13,73960986910378267,648518346483295507,73960986910355755,648518346481055200,[ 56871 102645   1646],[ 56853 102669   1645]
1081,26424821,2022-11-17 14:28:59.843347+00:00,,t,34,73960986910194465,648518346493881079,73960986910168237,648518346481055200,[ 56823 103063   1573],[ 56855 103051   1573]
1082,26424902,2022-11-17 14:28:59.843347+00:00,,t,23,73960986910346401,648518346506626718,73960986910376190,648518346481055200,[ 56941 103159   1648],[ 56961 103143   1649]
1083,26467709,2022-11-17 14:28:59.843347+00:00,,t,40,74101862172796066,648518346496754916,74101862172948593,648518346481055200,[ 60397 107825   2195],[ 60367 107829   2195]
1084,26467722,2022-11-17 14:28:59.843347+00:00,,t,29,74101862106120817,648518346496754916,74101862172801699,648518346481055200,[ 60417 107899   2185],[ 60387 107905   2186]
1085,29644106,2022-11-17 14:28:59.843347+00:00,,t,29,73890687690829019,648518346493970464,73890687690815590,648518346481055200,[ 54085 104613   3119],[ 54119 104603   3120]
1086,29644133,2022-11-17 14:28:59.843347+00:00,,t,28,73890687690815733,648518346492932784,73890687690818521,648518346481055200,[ 54159 104707   3118],[ 54175 104683   3119]
