,id,created,superceded_id,valid,score,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,pre_pt_position,post_pt_position
55,42512494,2022-11-17 14:28:59.843347+00:00,,t,56,72483037593814025,648518346465109621,72483037593826739,648518346496059082,[13661 96509  2494],[13653 96503  2497]
56,7116043,2022-11-17 14:28:59.843347+00:00,,t,36,72764512570454860,648518346494231291,72764512570457664,648518346496059082,[21033 96781  2471],[21031 96821  2471]
57,42718647,2022-11-17 14:28:59.843347+00:00,,t,16,72834881314638018,648518346493833976,72834881314630201,648518346496059082,[23073 97637  2471],[23069 97649  2470]
58,41156214,2022-11-17 14:28:59.843347+00:00,,t,53,72413081367792825,648518346501288024,72413081367784594,648518346496059082,[ 11659 110095   2874],[ 11653 110069   2874]
59,41373769,2022-11-17 14:28:59.843347+00:00,,t,67,72553681551446281,648518346477981653,72553681551459117,648518346496059082,[ 16151 105665   3167],[ 16185 105673   3167]
60,41373780,2022-11-17 14:28:59.843347+00:00,,t,34,72553681551461669,648518346497833063,72553681551433995,648518346496059082,[ 16221 105709   3166],[ 16221 105681   3166]
61,41382205,2022-11-17 14:28:59.843347+00:00,,t,13,72975893748202232,648518346484890781,72975893748202162,648518346496059082,[ 27005 105135   2681],[ 27021 105115   2681]
62,44168114,2022-11-17 14:28:59.843347+00:00,,t,16,72764512503324107,648518346480692225,72764512503296339,648518346496059082,[21891 96443  2333],[21879 96467  2333]
63,44168117,2022-11-17 14:28:59.843347+00:00,,t,47,72764512503354213,648518346480692225,72764512503338635,648518346496059082,[21897 96467  2337],[21887 96493  2337]
64,6048172,2022-11-17 14:28:59.843347+00:00,,t,17,72413081032019976,648518346472590089,72413081032018407,648518346496059082,[ 10629 110431   2189],[ 10663 110403   2188]
65,33729911,2022-11-17 14:28:59.843347+00:00,,t,21,72905525070940849,648518346488991501,72905525070949718,648518346496059082,[ 26575 105799   2732],[ 26549 105819   2733]
66,10116244,2022-11-17 14:28:59.843347+00:00,,t,18,72694418502975777,648518346486141124,72694418502987150,648518346496059082,[ 20195 106095   2150],[ 20167 106107   2151]
67,40550013,2022-11-17 14:28:59.843347+00:00,,t,23,72764443850955716,648518346482991013,72764443850930433,648518346496059082,[21265 94587  2455],[21265 94593  2453]
68,40550027,2022-11-17 14:28:59.843347+00:00,,t,28,72764443850965484,648518346490905995,72764443850965272,648518346496059082,[21287 94241  2464],[21303 94221  2465]
69,35072565,2022-11-17 14:28:59.843347+00:00,,t,29,72694006253323077,648518346501071209,72694006253309664,648518346496059082,[19117 92983  2292],[19125 92953  2293]
70,35072574,2022-11-17 14:28:59.843347+00:00,,t,27,72694006253331242,648518346481689236,72694006253323003,648518346496059082,[19111 92837  2293],[19135 92849  2293]
71,17915650,2022-11-17 14:28:59.843347+00:00,,t,35,72342437745635950,648518346509612931,72342437745616741,648518346496059082,[  8627 101451   2839],[  8613 101435   2840]
72,36064620,2022-11-17 14:28:59.843347+00:00,,t,51,72413149885994180,648518346494231291,72413149885987621,648518346496059082,[ 11193 110775   2506],[ 11217 110773   2506]
73,17694594,2022-11-17 14:28:59.843347+00:00,,t,15,72764787448328166,648518346517524522,72764787448333289,648518346496059082,[ 22289 105079   2460],[ 22319 105061   2461]
74,22672375,2022-11-17 14:28:59.843347+00:00,,t,19,72413149751860624,648518346494231291,72413149751872191,648518346496059082,[ 10827 110925   2294],[ 10823 110895   2294]
75,7116098,2022-11-17 14:28:59.843347+00:00,,t,27,72764512570419910,648518346494231291,72764512570449999,648518346496059082,[21127 96889  2465],[21157 96883  2466]
76,7116111,2022-11-17 14:28:59.843347+00:00,,t,34,72764512570419910,648518346494231291,72764512570427191,648518346496059082,[21147 96893  2460],[21179 96891  2460]
77,28289150,2022-11-17 14:28:59.843347+00:00,,t,33,72764443716700822,648518346472590089,72764443716702155,648518346496059082,[21035 94273  2225],[21053 94243  2225]
78,1962330,2022-11-17 14:28:59.843347+00:00,,t,43,72553268764796595,648518346500874140,72553268764789202,648518346496059082,[16293 93407  2232],[16297 93381  2235]
79,36792700,2022-11-17 14:28:59.843347+00:00,,t,21,72413012447062722,648518346492595641,72413012447067678,648518346496059082,[ 11081 108261   2518],[ 11115 108257   2518]
80,36792710,2022-11-17 14:28:59.843347+00:00,,t,25,72413012447037387,648518346492595641,72413012447039891,648518346496059082,[ 11095 108271   2513],[ 11125 108275   2514]
81,971855,2022-11-17 14:28:59.843347+00:00,,t,12,72413080965278981,648518346499877587,72413080965273956,648518346496059082,[ 10897 110163   2156],[ 10923 110199   2156]
