,pre_skid,post_skid,pre_node,post_node,pre_pt_position_v3,post_pt_position_v3,pre_pt_position_v4,post_pt_position_v4,pre_pt_supervoxel_id,post_pt_supervoxel_id,pre_pt_root_id,post_pt_root_id
32,1639782,395949,18532681,18524012,[ 46773.37209302 103039.09302326   3058.        ],[ 46870.37209302 103269.09302326   3058.        ],"[46756.48837209304, 103058.12209302327, 3058.0]","[46846.86627906978, 103286.02906976745, 3058.0]",73609143927643391,73609143927654193,648518346490330972,648518346478173909
33,1639813,395949,18532688,18523941,[ 46865.87209302 103830.09302326   2982.        ],[ 46871.37209302 104037.09302326   2982.        ],"[46839.23837209304, 103882.37209302327, 2982.0]","[46841.36627906978, 104094.27906976745, 2982.0]",73609143927470488,73609143927454021,648518346497328001,648518346478173909
34,1639865,395949,18532703,18532702,[ 46900.37209302 104687.09302326   2871.        ],[ 46999.87209302 104753.09302326   2871.        ],"[46894.86627906978, 104701.77906976745, 2871.0]","[46998.49418604652, 104766.43604651163, 2871.0]",73609212579862226,73609212579897458,648518346492932016,648518346478173909
35,1639906,395949,18532713,18532712,[ 46936.87209302 104761.98372093   2866.        ],[ 47083.37209302 104843.42325581   2865.        ],"[46922.244186046504, 104774.2174418605, 2866.0]","[47068.24418604652, 104852.8465116279, 2865.0]",73609212579869572,73609212579844307,648518346492932016,648518346478173909
36,1639957,395949,18532724,8731964,[ 46774.80465116 105182.           2801.        ],[ 47099.30232558 105100.           2801.        ],"[46782.85930232558, 105198.25, 2801.0]","[47108.854651162794, 105116.0, 2801.0]",73609212512922749,73679581257083904,648518346497328001,648518346478173909
37,1639994,395949,18532738,18532737,[ 47716.29069767 105062.58139535   2728.        ],[ 47667.79069767 105205.58139535   2728.        ],"[47741.12209302326, 105086.49418604652, 2728.0]","[47701.37209302326, 105225.24418604652, 2728.0]",73679581256901436,73679581256911076,648518346516290358,648518346478173909
38,1640021,395949,18532748,8731901,[ 49561.08372093 104945.37209302   2594.        ],[ 49542.3255814  105070.93023256   2594.        ],"[49558.16744186047, 104961.7441860465, 2594.0]","[49540.6511627907, 105089.11046511628, 2594.0]",73749949933954130,73749949933959659,648518346482193556,648518346478173909
39,1640037,395949,18532764,18532763,[ 51064.94186047 103954.13953488   2539.        ],[ 51284.30232558 103970.69767442   2539.        ],"[51081.633720930244, 103948.02906976745, 2539.0]","[51294.354651162794, 103970.39534883722, 2539.0]",73749881147552873,73820249891750293,648518346501047830,648518346478173909
40,1640068,395949,18532774,8731877,[ 51168.40930233 103837.23255814   2536.        ],[ 51447.90697674 103780.23255814   2536.        ],"[51180.06860465117, 103834.46511627905, 2536.0]","[51448.81395348838, 103782.96511627908, 2536.0]",73749881147513810,73820249891737924,648518346501047830,648518346478173909
41,1640104,395949,18532783,18532782,[ 51237.31395349 103793.55813953   2530.        ],[ 51618.76046512 103609.30232558   2531.        ],"[51250.87790697675, 103798.11627906977, 2530.0]","[51619.041860465135, 103628.95930232562, 2531.0]",73820249891735392,73820249891729893,648518346501047830,648518346478173909
42,1640140,395949,18532792,18532791,[ 51573.5255814  103766.04651163   2526.        ],[ 51768.02325581 103521.04651163   2526.        ],"[51579.80116279071, 103787.09302325582, 2526.0]","[51770.438953488374, 103559.29433139536, 2526.0]",73820249891724749,73820249891724603,648518346515153223,648518346478173909
43,1640151,395949,18532797,8731871,[ 51893.5255814  103284.04651163   2524.        ],[ 52000.23255814 103451.1627907    2525.        ],"[51906.076744186066, 103333.63953488377, 2524.0]","[52008.71511627907, 103497.82558139536, 2525.0]",73820249891727085,73820249891711078,648518346465910320,648518346478173909
44,1640167,395949,18532802,18532801,[ 52218.60465116 103298.88372093   2528.        ],[ 52532.48139535 103152.47906977   2529.        ],"[52221.06395348838, 103360.40116279073, 2528.0]","[52544.94418604652, 103220.43720930234, 2529.0]",73820249891732281,73820249891713677,648518346492932016,648518346478173909
45,1640193,395949,18532815,18532814,[ 53713.66744186 102026.73023256   2571.        ],[ 54231.97674419 101565.69767442   2571.        ],"[53690.0023255814, 102058.44069767442, 2571.0]","[54211.93023255814, 101582.09302325583, 2571.0]",73890549983175246,73890549983150498,648518346472231218,648518346478173909
46,1640209,395949,18532823,18532822,[ 54434.70232558 101245.44186047   2591.        ],[ 54605.23255814 101379.59302326   2591.        ],"[54406.4046511628, 101272.38372093026, 2591.0]","[54570.96511627907, 101409.68604651163, 2591.0]",73890549983375456,73890549983386743,648518346494222706,648518346478173909
47,1640260,395949,18532837,18532836,[ 54873.73255814 100482.27906977   2655.        ],[ 54852.41860465 100842.46511628   2655.        ],"[54845.4476744186, 100507.58720930235, 2655.0]","[54822.17441860464, 100874.36046511628, 2655.0]",73890549983551917,73890549983554511,648518346472231218,648518346478173909
48,1640271,395949,18532843,18532842,[ 54889.41860465 100501.34418605   2659.        ],[ 54877.54418605 100837.31162791   2659.        ],"[54867.087209302335, 100518.18837209305, 2659.0]","[54859.38255813954, 100862.93488372094, 2659.0]",73890549983551917,73890549983562044,648518346472231218,648518346478173909
49,1640292,395949,18532851,18532850,[ 55168.14418605 100439.79534884   2726.        ],[ 55207.98372093 100539.22325581   2726.        ],"[55128.43255813954, 100478.88604651164, 2726.0]","[55171.951162790705, 100578.66976744185, 2726.0]",73890550050488445,73890550050493553,648518346491539112,648518346478173909
50,1640318,395949,18532860,18532859,[56070.1744186  99984.92093023  2835.        ],[56341.47209302 99919.61395349  2832.        ],"[56052.09883720931, 99994.34186046512, 2835.0]","[56322.194186046516, 99928.97790697677, 2832.0]",73960850142120463,73960850142084238,648518346489893207,648518346478173909
51,1640344,395949,18532869,8731763,[56793.11395349 99527.88372093  2862.        ],[56972.09302326 99560.23255814  2862.        ],"[56754.59186046513, 99548.90116279073, 2862.0]","[56927.18604651163, 99586.96511627908, 2862.0]",73960850142292051,73960850142297169,648518346385791605,648518346478173909
52,1640365,395949,18532877,8731760,[57570.26976744 99194.34883721  2870.        ],[57269.76744186 99395.34883721  2870.        ],"[57520.3093023256, 99210.04651162794, 2870.0]","[57221.8023255814, 99422.04651162794, 2870.0]",74031218886514992,73960850142304738,648518346467165191,648518346478173909
53,1640396,395949,18532888,18532885,[57999.78604651 99176.40930233  2885.        ],[57799.78604651 99190.41395349  2885.        ],"[57928.07209302325, 99187.56860465117, 2885.0]","[57728.608139534874, 99204.74186046516, 2885.0]",74031218886573260,74031218886551239,648518346493078044,648518346478173909
54,1640432,395949,18532897,18532896,[58035.58139535 98941.51860465  2907.        ],[57990.46511628 99111.24186047  2907.        ],"[57990.49418604652, 98957.5558139535, 2907.0]","[57942.145348837206, 99137.2255813954, 2907.0]",74031218886629628,74031218886617141,648518346500389336,648518346478173909
55,1640448,395949,18532903,18527762,[51240.51162791 94921.44186047  1790.        ],[50866.51162791 94841.44186047  1790.        ],"[51245.53488372095, 94958.57558139539, 1790.0]","[50872.03488372093, 94877.32558139539, 1790.0]",73819974611280923,73749605867056761,648518346467165191,648518346478173909
56,1640489,395949,18532913,18532912,[51002.09767442 94298.44186047  1903.        ],[51252.19767442 94399.44186047  1903.        ],"[50970.043023255814, 94316.32558139534, 1903.0]","[51220.09302325583, 94416.32558139534, 1903.0]",73749605934096653,73819974678290542,648518346497126138,648518346478173909
57,1640545,395949,18532925,18527635,[51266.48837209 94126.44186047  1927.        ],[51405.99302326 94231.44186047  1927.        ],"[51236.226744186046, 94136.13372093026, 1927.0]","[51372.22906976743, 94242.57558139539, 1927.0]",73819905959010455,73819974678381528,648518346497126138,648518346478173909
58,1640561,395949,18532932,18532931,[52579.05813953 93052.98604651  2030.        ],[52761.98837209 93126.03953488  2032.        ],"[52579.924418604656, 93050.45813953491, 2030.0]","[52761.976744186046, 93124.32906976744, 2032.0]",73819906025929438,73819906025920772,648518346478528340,648518346478173909
59,1640612,395949,18532943,18526829,[53063.48837209 93282.44186047  2054.        ],[52820.98837209 93176.44186047  2054.        ],"[53016.21511627907, 93285.32558139534, 2054.0]","[52775.71511627907, 93177.32558139539, 2054.0]",73819906025968285,73819906025989379,648518346505467522,648518346478173909
60,1640648,395949,18532952,18532951,[53077.15581395 93204.44186047  2060.        ],[52853.32093023 93164.44186047  2062.        ],"[53026.71744186047, 93215.07558139534, 2060.0]","[52787.71279069769, 93172.57558139534, 2062.0]",73819906092609533,73819906092607789,648518346505467522,648518346478173909
61,1640669,395949,18532958,18532957,[52602.61627907 93622.87906977  2100.        ],[52723.39069767 93469.04186047  2100.        ],"[52548.48255813954, 93606.00813953488, 2100.0]","[52665.53139534884, 93458.08372093024, 2100.0]",73819906092896051,73819906092878543,648518346467165191,648518346478173909
62,396187,395949,18532965,18532967,[52354.94883721 93975.87906977  2195.        ],[52551.22093023 94003.62790698  2195.        ],"[52295.295348837215, 93938.26627906982, 2195.0]","[52493.691860465115, 93961.5058139535, 2195.0]",73819906159757945,73819906159860674,648518346502068297,648518346478173909
63,1640716,395949,18532972,18526769,[52792.48837209 94319.44186047  2258.        ],[52956.48837209 94341.44186047  2258.        ],"[52719.21511627909, 94255.07558139534, 2258.0]","[52880.46511627907, 94271.57558139539, 2258.0]",73819974879549190,73819974879546159,648518346496199543,648518346478173909
64,1640732,395949,18532976,18526750,[53001.32325581 94447.10697674  2297.        ],[53124.98837209 94504.44186047  2297.        ],"[52918.96976744187, 94385.57093023258, 2297.0]","[53038.46511627909, 94439.32558139534, 2297.0]",73819974879617128,73819974879629862,648518346467165191,648518346478173909
65,1640744,395949,18532981,18532980,[53879.48372093 94337.44186047  2369.        ],[53821.73255814 94485.44186047  2369.        ],"[53813.701162790705, 94271.32558139534, 2369.0]","[53755.947674418625, 94416.57558139539, 2369.0]",73890343690808786,73890343690794057,648518346478348660,648518346478173909
66,1640770,395949,18532989,18532988,[54575.45813953 94576.35813953  2447.        ],[54505.10232558 94717.64651163  2445.        ],"[54508.37441860466, 94493.57441860466, 2447.0]","[54440.3069767442, 94635.18953488374, 2445.0]",73890343757722703,73890343757696345,648518346489881271,648518346478173909
67,1640797,395949,18532996,18526578,[54878.50232558 95056.44186047  2497.        ],[54994.50232558 94969.44186047  2497.        ],"[54804.75697674418, 94985.82558139539, 2497.0]","[54923.009302325576, 94894.01744186046, 2497.0]",73890343757943044,73890343757961639,648518346478348660,648518346478173909
68,1640828,395949,18533005,8732286,[55592.13953488 95215.95348837  2529.        ],[55436.51162791 95187.44186047  2528.        ],"[55526.418604651175, 95138.86046511628, 2529.0]","[55370.03488372093, 95112.32558139534, 2528.0]",73960712502188979,73960712502173675,648518346531490330,648518346478173909
69,1640864,395949,18533014,18533013,[55271.76744186 95301.53488372  2535.        ],[55388.60465116 95269.48837209  2535.        ],"[55216.8023255814, 95219.1046511628, 2535.0]","[55335.56395348838, 95188.46511627907, 2535.0]",73890343758031449,73960712502212289,648518346478348660,648518346478173909
70,1640906,395949,18533042,18528108,[53931.41395349 95583.79069767  3104.        ],[53884.41395349 95565.79069767  3104.        ],"[53929.577906976745, 95567.08139534885, 3104.0]","[53882.32790697676, 95548.58139534885, 3104.0]",73890344093355010,73890344093362773,648518346493805304,648518346478173909
71,1640937,395949,18533049,18527868,[54268.90697674 95683.79069767  2912.        ],[54217.90697674 95581.79069767  2912.        ],"[54253.31395348837, 95680.58139534885, 2912.0]","[54201.56395348838, 95580.58139534885, 2912.0]",73890343959306778,73890343959309438,648518346497366296,648518346478173909
72,1640963,395949,18533059,18527846,[54883.40930233 95737.79069767  2902.        ],[54916.90697674 95884.79069767  2903.        ],"[54856.31860465117, 95729.08139534885, 2902.0]","[54889.81395348838, 95875.58139534883, 2903.0]",73890343959288059,73890343959293485,648518346497048472,648518346478173909
73,1640994,395949,18533066,18527845,[54880.40697674 95735.79069767  2900.        ],[54965.90697674 95889.79069767  2902.        ],"[54851.06395348838, 95722.58139534885, 2900.0]","[54936.06395348837, 95881.58139534883, 2902.0]",73890343959274861,73890343959282901,648518346497048472,648518346478173909
74,1641016,395949,18533074,18527824,[55445.40697674 96301.79069767  2881.        ],[55509.90697674 96456.79069767  2881.        ],"[55410.56395348838, 96272.58139534885, 2881.0]","[55473.56395348838, 96424.58139534885, 2881.0]",73960781422856223,73960781422854411,648518346511321653,648518346478173909
75,1641063,395949,18533089,18533088,[56115.19534884 97426.76744186  2785.        ],[56265.06976744 97474.13953488  2786.        ],"[56085.14069767442, 97417.78488372092, 2785.0]","[56232.45930232559, 97463.41860465117, 2786.0]",73960781355872529,73960781355872607,648518346488857322,648518346478173909
76,1641089,395949,18533095,18529208,[50830.18139535 95002.6744186   2897.        ],[50878.68139535 95150.6744186   2897.        ],"[50790.294186046514, 95024.27325581397, 2897.0]","[50840.544186046514, 95172.02325581397, 2897.0]",73749606470924131,73749606470924215,648518346504748934,648518346478173909
77,1641140,395949,18533106,18529204,[50949.67906977 94800.6744186   2890.        ],[50918.68139535 95031.6744186   2891.        ],"[50910.78720930233, 94821.27325581397, 2890.0]","[50884.362790697676, 95051.84883720931, 2891.0]",73749606470901915,73749606470909782,648518346504748934,648518346478173909
78,1641166,395949,18533112,18529202,[50973.68139535 94729.6744186   2889.        ],[50925.18139535 95007.6744186   2889.        ],"[50929.794186046514, 94750.52325581397, 2889.0]","[50885.612790697676, 95028.84883720931, 2889.0]",73749606470891698,73749606470909782,648518346504748934,648518346478173909
79,1641177,395949,18533116,18533115,[51239.69069767 94813.6744186   2877.        ],[51009.94186047 94773.51162791  2877.        ],"[51220.63139534884, 94832.84883720931, 2877.0]","[50982.325581395366, 94791.03488372093, 2877.0]",73819975215041163,73749606470871318,648518346489595151,648518346478173909
80,1641218,395949,18533125,18529098,[51764.18139535 93829.6744186   2874.        ],[51713.68372093 93782.6744186   2874.        ],"[51742.86279069769, 93846.34883720931, 2874.0]","[51687.801162790696, 93800.27325581397, 2874.0]",73819906495573059,73819906495573039,648518346504748934,648518346478173909
81,1641239,395949,18533130,18529094,[51875.18837209 93837.6744186   2881.        ],[51701.68604651 93714.6744186   2878.        ],"[51845.31511627908, 93853.77325581397, 2881.0]","[51668.87209302327, 93731.59883720931, 2878.0]",73819906495587628,73819906495577795,648518346504748934,648518346478173909
82,1641260,395949,18533136,18533134,[51778.68372093 93098.6744186   2870.        ],[51934.68837209 93299.6744186   2870.        ],"[51723.617441860464, 93121.09883720931, 2870.0]","[51894.126744186055, 93316.34883720931, 2870.0]",73819906495579752,73819906495557239,648518346482609961,648518346478173909
83,1641281,395949,18533142,8732316,[54207.13255814 93394.95348837  2653.        ],[53978.13953488 93243.72093023  2650.        ],"[54232.89767441863, 93365.11046511628, 2653.0]","[54007.77906976745, 93208.19186046513, 2650.0]",73890275105582893,73890275105572198,648518346497366296,648518346478173909
84,1641307,395949,18533153,18533152,[53845.9255814  94959.62790698  2639.        ],[53955.4255814  94871.62790698  2640.        ],"[53864.601162790714, 94901.2558139535, 2639.0]","[53974.1011627907, 94813.5058139535, 2640.0]",73890343825060427,73890343825068064,648518346511876543,648518346478173909
85,1641349,395949,18533168,18533167,[ 49127.3372093  102223.72093023   2913.        ],[ 49200.8372093  102378.72093023   2913.        ],"[49129.174418604656, 102220.69186046513, 2913.0]","[49201.674418604656, 102374.94186046513, 2913.0]",73679443885218501,73749812629407386,648518346497366296,648518346478173909
86,1641389,395949,18533176,18529536,[ 49190.08837209 102071.72093023   2898.        ],[ 49200.58837209 102210.72093023   2898.        ],"[49167.515116279086, 102069.6627906977, 2898.0]","[49175.42674418604, 102211.6918604651, 2898.0]",73749812629372507,73749812629372566,648518346497366296,648518346478173909
87,1641405,395949,18533180,18529442,[ 48336.08372093 101916.72093023   2747.        ],[ 48573.58139535 101678.72093023   2747.        ],"[48342.16744186047, 101944.94186046513, 2747.0]","[48579.16279069768, 101696.94186046513, 2747.0]",73679443818020872,73679443818020720,648518346504748934,648518346478173909
88,1641456,395949,18533191,18529417,[ 48491.08372093 101654.72093023   2722.        ],[ 48732.58139535 101529.72093023   2722.        ],"[48480.91744186047, 101676.69186046513, 2722.0]","[48730.99418604652, 101555.6627906977, 2722.0]",73679443817952729,73679443817947424,648518346504748934,648518346478173909
89,1641485,395949,18533199,18533198,[ 48718.53488372 101484.74418605   2716.        ],[ 48831.04651163 101465.69767442   2717.        ],"[48725.31976744188, 101519.98837209304, 2716.0]","[48839.34302325582, 101500.89534883722, 2717.0]",73679443817923915,73679443817929688,648518346483184804,648518346478173909
90,1641506,395949,18533204,8732096,[ 48748.95348837 101220.76744186   2714.        ],[ 48849.53488372 101446.74418605   2716.        ],"[48757.90697674418, 101261.78488372095, 2714.0]","[48862.354651162794, 101484.48255813956, 2716.0]",73679443817934983,73679443817926966,648518346493950475,648518346478173909
91,1641537,395949,18533212,18533211,[ 49014.81395349 101388.96744186   2706.        ],[ 48955.81395349 101255.96744186   2706.        ],"[49022.12790697675, 101413.18488372094, 2706.0]","[48962.87790697675, 101279.68488372094, 2706.0]",73679443817854706,73679443817791959,648518346496230519,648518346478173909
92,1641574,395949,18533222,18533221,[ 48754.37209302 100877.11627907   2670.        ],[ 48968.37209302 100815.11627907   2671.        ],"[48770.994186046504, 100892.23255813954, 2670.0]","[48987.49418604652, 100827.98255813954, 2671.0]",73679443751014912,73679443751045011,648518346497328001,648518346478173909
93,1641600,395949,18533233,18533232,[ 48876.84651163 100489.91162791   2656.        ],[ 49009.84418605 100558.91627907   2656.        ],"[48903.94302325582, 100508.32325581397, 2656.0]","[49033.62674418604, 100575.6651162791, 2656.0]",73679443750956311,73679443750976697,648518346497366296,648518346478173909
94,1641621,395949,18533239,18533238,[ 49543.2627907  100115.96744186   2629.        ],[ 49417.44186047 100073.72093023   2627.        ],"[49554.025581395355, 100134.43488372094, 2629.0]","[49426.383720930244, 100092.44186046513, 2627.0]",73749743775634383,73749743775611247,648518346492130066,648518346478173909
95,1641657,395949,18533248,18533247,[ 49263.89069767 100044.67906977   2622.        ],[ 49444.03023256 100041.4744186    2622.        ],"[49260.42209302328, 100064.28720930233, 2622.0]","[49443.81046511627, 100060.94883720932, 2622.0]",73749743775621526,73749743775611247,648518346490142235,648518346478173909
96,1641678,395949,18533254,18533253,[49332.66046512 99777.20930233  2578.        ],[49505.96976744 99688.37209302  2578.        ],"[49324.07093023257, 99780.66860465117, 2578.0]","[49496.43953488373, 99689.24418604653, 2578.0]",73749743775337605,73749743775493392,648518346518660319,648518346478173909
