,pre_skid,post_skid,pre_node,post_node,pre_pt_position_v3,post_pt_position_v3,pre_pt_position_v4,post_pt_position_v4,pre_pt_supervoxel_id,post_pt_supervoxel_id,pre_pt_root_id,post_pt_root_id
310,1631508,254329,18522060,18517177,[ 11018.31395349 104733.41860465   3033.        ],[ 10851.31395349 104687.41860465   3033.        ],"[11062.691860465116, 104805.00581395352, 3033.0]","[10894.537790697676, 104766.63372093029, 3033.0]",72412943996056919,72412943996044375,648518346465109621,648518346448148071
311,1631539,254329,18522067,16269286,[ 11238.25581395 104243.58139535   3058.        ],[ 11083.25581395 104235.58139535   3064.        ],"[11207.011627906977, 104284.66279069771, 3058.0]","[11037.767441860466, 104255.99418604652, 3064.0]",72412875276652334,72412875276654928,648518346496348023,648518346496059082
312,1631565,254329,18522073,18520835,[ 25878.81395349 104126.65116279   2776.        ],[ 25833.81395349 103979.65116279   2778.        ],"[25882.37790697674, 104146.0523255814, 2776.0]","[25835.87790697674, 103996.3023255814, 2778.0]",72905456351557922,72905456351543823,648518346488991501,648518346496059082
313,1631611,254329,18522083,18520836,[ 25600.81395349 104499.65116279   2782.        ],[ 25687.81395349 104497.65116279   2782.        ],"[25607.627906976748, 104533.3023255814, 2782.0]","[25694.627906976748, 104530.8023255814, 2782.0]",72905525071068921,72905525071059398,648518346479847574,648518346496059082
314,1631657,254329,18522093,18516370,[ 25865.81395349 104487.65116279   2803.        ],[ 25777.81395349 104623.65116279   2803.        ],"[25881.627906976748, 104517.5523255814, 2803.0]","[25796.627906976748, 104656.0523255814, 2803.0]",72905525071115916,72905525071106104,648518346488991501,648518346496059082
315,1631713,254329,18522105,18516195,[ 19455.11627907 101539.46511628   2378.        ],[ 19480.11627907 101366.46511628   2378.        ],"[19456.482558139534, 101525.93023255817, 2378.0]","[19479.3488372093, 101341.8953488372, 2378.0]",72694281198232858,72694281198230446,648518346500844188,648518346496059082
316,1631759,254329,18522115,18519700,[15799.46511628 93028.60465116  2240.        ],[15637.46511628 92954.60465116  2240.        ],"[15786.145348837212, 93056.31395348838, 2240.0]","[15625.930232558145, 92979.70930232559, 2240.0]",72553268764825159,72553268764814120,648518346485154581,648518346419415556
317,1631780,254329,18522121,18522120,[15570.46511628 92980.60465116  2238.        ],[15647.13116279 92933.93953488  2238.        ],"[15560.180232558141, 93011.70930232559, 2238.0]","[15637.2623255814, 92965.12906976746, 2238.0]",72553268764803796,72553268764814120,648518346482266528,648518346419415556
318,1631811,254329,18522128,18519685,[15809.46511628 93138.60465116  2226.        ],[15920.46511628 93005.60465116  2224.        ],"[15799.180232558141, 93174.45930232559, 2226.0]","[15908.180232558141, 93039.45930232559, 2224.0]",72553268764774329,72553268764771820,648518346485154581,648518346496059082
319,1631837,254329,18522134,18519664,[15795.46511628 93160.60465116  2222.        ],[16061.46511628 93144.60465116  2222.        ],"[15783.180232558141, 93189.20930232559, 2222.0]","[16042.180232558141, 93173.20930232559, 2222.0]",72553268764756822,72553268764769454,648518346485154581,648518346496059082
320,1631868,254329,18522141,18519662,[16151.46511628 93004.60465116  2224.        ],[16084.46511628 93158.60465116  2224.        ],"[16135.930232558141, 93040.20930232559, 2224.0]","[16066.930232558141, 93192.70930232559, 2224.0]",72553268764747049,72553268764776681,648518346497017240,648518346496059082
321,1631894,254329,18522147,18519651,[16238.46511628 93355.60465116  2233.        ],[16303.46511628 93317.60465116  2234.        ],"[16215.430232558138, 93391.45930232559, 2233.0]","[16278.680232558138, 93355.45930232559, 2234.0]",72553268764801633,72553268764789202,648518346500874140,648518346496059082
322,1631930,254329,18522156,18522155,[ 15798.19767442 101625.62790698   2556.        ],[ 15780.69767442 101571.62790698   2554.        ],"[15801.64534883721, 101593.5058139535, 2556.0]","[15796.39534883721, 101521.2558139535, 2554.0]",72553543777115721,72553543777118858,648518346479899124,648518346496059082
323,1631976,254329,18522178,18517063,[  9666.86046512 103073.86046512   2778.        ],[  9534.86046512 103071.86046512   2778.        ],"[9671.220930232557, 103079.72093023255, 2778.0]","[9530.220930232561, 103077.97093023258, 2778.0]",72342506398178715,72342506398180990,648518346496100925,648518346364074148
324,1632017,254329,18522187,18517061,[  9601.86046512 103030.86046512   2774.        ],[  9457.86046512 103030.86046512   2776.        ],"[9611.081395348836, 103039.08139534887, 2774.0]","[9450.441860465122, 103038.19186046516, 2776.0]",72342506398166340,72342506398176368,648518346496100925,648518346364074148
325,1632049,254329,18522194,18517058,[  9286.86046512 103214.86046512   2773.        ],[  9390.86046512 103042.86046512   2773.        ],"[9277.720930232557, 103214.72093023258, 2773.0]","[9386.220930232557, 103047.97093023255, 2773.0]",72342506398174082,72342506398173986,648518346494640149,648518346364074148
326,1632076,254329,18522201,18516426,[ 11199.81395349 111470.88372093   1938.        ],[ 11168.31395349 111385.88372093   1938.        ],"[11254.627906976744, 111476.01744186046, 1938.0]","[11220.127906976744, 111391.51744186046, 1938.0]",72413149617400562,72413149617409799,648518346492595641,648518346496059082
327,1632101,254329,18522217,18514237,[ 10030.88372093 102534.74418605   2681.        ],[  9821.88372093 102521.74418605   2682.        ],"[10024.401162790698, 102546.23255813956, 2681.0]","[9809.267441860466, 102525.48837209304, 2682.0]",72342506331168745,72342506331174008,648518346515629818,648518346362983472
