,pre_skid,post_skid,pre_node,post_node,pre_pt_position_v3,post_pt_position_v3,pre_pt_position_v4,post_pt_position_v4,pre_pt_supervoxel_id,post_pt_supervoxel_id,pre_pt_root_id,post_pt_root_id
5433,1387276,735491,18185169,17768271,[55891.88372093 99229.87674419  2669.        ],[56065.25813953 99159.00465116  2669.        ],"[55883.65116279071, 99229.13023255812, 2669.0]","[56061.266279069765, 99157.75930232558, 2669.0]",73960850008251691,73960850008236268,648518346501741897,648518346494774179
5434,1387327,735491,18185180,18185179,[ 51335.75116279 110013.06046512   2786.        ],[ 51439.37906977 109994.25116279   2786.        ],"[51352.0034883721, 110060.43139534882, 2786.0]","[51453.50813953488, 110043.75232558142, 2786.0]",73820456184368860,73820456184374064,648518346477529564,648518346494774179
5435,1387338,735491,18185183,17919547,[ 51309.75348837 110011.50465116   2791.        ],[ 51473.25116279 110106.00930233   2791.        ],"[51319.75697674419, 110054.00930232558, 2791.0]","[51481.7523255814, 110149.26860465118, 2791.0]",73820456184381834,73820456184350382,648518346477529564,648518346494774179
5436,1387354,735491,18185188,18185186,[ 63635.63255814 104345.12325581   2847.        ],[ 63406.62790698 104416.1255814    2849.        ],"[63640.897674418586, 104393.11976744188, 2847.0]","[63415.633720930244, 104451.62674418608, 2849.0]",74242462557898701,74172162533255449,648518346506690628,648518346494774179
5437,1387375,735491,18185193,17986887,[ 62984.5627907 104043.1255814   2856.       ],[ 62735.06511628 104089.62790698   2856.        ],"[62987.62558139535, 104053.0011627907, 2856.0]","[62730.945348837246, 104099.63372093024, 2856.0]",74172093813767442,74172093813767436,648518346489559639,648518346494774179
5438,1387401,735491,18185199,17917915,[ 61402.75348837 111805.00697674   2583.        ],[ 61191.75813953 111783.25581395   2583.        ],"[61358.760465116306, 111834.52093023261, 2583.0]","[61147.27441860465, 111812.76744186049, 2583.0]",74101999813193800,74101999813239511,648518346479180689,648518346494774179
5439,1387427,735491,18185205,17917908,[ 62863.74418605 109734.74418605   2583.        ],[ 62754.24418605 109853.24883721   2583.        ],"[62822.98837209302, 109755.48837209304, 2583.0]","[62711.982558139534, 109876.49651162792, 2583.0]",74172299837933725,74172299837930439,648518346488690952,648518346494774179
5440,1387468,735491,18185214,17958634,[ 63564.75348837 109831.00930233   2828.        ],[ 63401.25581395 109977.34883721   2828.        ],"[63589.50697674419, 109886.01860465118, 2828.0]","[63424.76162790699, 110031.4476744186, 2828.0]",74242668716199620,74172299972049835,648518346483110846,648518346494774179
5441,1387479,735491,18185218,18185217,[ 61250.75581395 109317.55813953   2885.        ],[ 61084.79534884 109172.26744186   2885.        ],"[61241.267441860466, 109362.42441860466, 2885.0]","[61079.840697674415, 109217.28488372095, 2885.0]",74101931228066601,74101931228051461,648518346501741897,648518346494774179
5442,1387505,735491,18185224,17766038,[50481.85581395 92427.66744186  2199.        ],[50607.75348837 92506.76744186  2199.        ],"[50447.56744186048, 92455.0023255814, 2199.0]","[50570.510465116284, 92536.05232558138, 2199.0]",73749537415751901,73749537415751972,648518346483510959,648518346494774179
5443,1387531,735491,18185230,18096474,[ 46501.20232558 103594.41860465   2963.        ],[ 46712.70232558 103581.9255814    2963.        ],"[46460.106976744195, 103640.75581395348, 2963.0]","[46670.606976744195, 103626.02674418609, 2963.0]",73609143927307721,73609143927249737,648518346496046141,648518346494774179
5444,1387547,735491,18185234,18077131,[ 51579.57906977 105559.14883721   2335.        ],[ 51592.07906977 105485.64651163   2335.        ],"[51574.40813953489, 105560.29767441863, 2335.0]","[51588.98720930234, 105487.93953488374, 2335.0]",73820318543925685,73820318543915867,648518346489441900,648518346373820298
5445,1387568,735491,18185239,18136935,[51507.3627907  93024.24418605  2827.        ],[51626.86511628 93008.74418605  2826.        ],"[51491.47558139535, 93057.98837209304, 2827.0]","[51612.23023255814, 93044.73837209301, 2826.0]",73819906495271122,73819906495267893,648518346485841860,648518346474341093
5446,1387624,735491,18185254,18151942,[ 48868.46046512 111086.63488372   2229.        ],[ 48775.45813953 110852.62790698   2229.        ],"[48788.88139534884, 111104.15465116281, 2229.0]","[48699.87441860466, 110873.13372093024, 2229.0]",73679787146978368,73679787146967498,648518346491632145,648518346494774179
5447,1387650,735491,18185274,18099665,[49932.25348837 94029.31627907  2366.        ],[49736.75581395 94205.56744186  2366.        ],"[49935.00697674419, 94034.63255813954, 2366.0]","[49743.767441860466, 94214.45232558143, 2366.0]",73749537482936569,73749606202420953,648518346477158088,648518346494774179
5448,1387701,735491,18185285,17772156,[47165.50232558 94593.50232558  2456.        ],[47105.50232558 94667.5         2456.        ],"[47162.7546511628, 94579.5046511628, 2456.0]","[47103.7546511628, 94651.5, 2456.0]",73679237525251556,73608868781044933,648518346492098955,648518346494774179
5449,1387727,735491,18185291,18170172,[56795.25581395 91520.24651163  2384.        ],[57042.25348837 91499.25116279  2384.        ],"[56758.26162790698, 91523.49302325581, 2384.0]","[57004.25697674419, 91506.50232558142, 2384.0]",73960574995988911,73960574995991514,648518346501741897,648518346494774179
5450,1387759,735491,18185303,17772379,[52814.25581395 96330.50232558  3111.        ],[53014.75581395 96297.00465116  3111.        ],"[52821.01162790698, 96319.00465116277, 3111.0]","[53019.26162790699, 96285.50930232558, 3111.0]",73820044068698992,73820044068690947,648518346493223196,648518346494774179
5451,1387815,735491,18185368,18169996,[55732.50465116 92369.59302326  2543.        ],[55884.00465116 92340.09302326  2543.        ],"[55730.009302325576, 92336.68604651163, 2543.0]","[55882.50930232559, 92308.18604651163, 2543.0]",73960643782713467,73960643782705275,648518346501741897,648518346494774179
5452,1387848,735491,18185380,18170162,[56930.7627907  92651.00930233  2531.        ],[57088.76511628 92835.01395349  2531.        ],"[56924.275581395355, 92616.01860465118, 2531.0]","[57086.53023255814, 92802.52790697676, 2531.0]",73960643782670064,73960643782672714,648518346518308182,648518346494774179
5453,1387924,735491,18185458,17916856,[62830.         98657.01395349  2314.        ],[62701.49767442 98595.26046512  2314.        ],"[62738.25, 98681.29186046509, 2314.0]","[62612.24302325582, 98623.53139534885, 2314.0]",74171956106117016,74171956106115557,648518346504748934,648518346494774179
5454,1387956,735491,18185474,18076279,[52809.44186047 98218.22790698  2336.        ],[52757.93953488 98095.7255814   2336.        ],"[52783.633720930244, 98211.20581395351, 2336.0]","[52733.629069767456, 98087.4511627907, 2336.0]",73820043666012163,73820043666022340,648518346490708477,648518346494774179
5455,1387996,735491,18185498,17768170,[56180.         95920.51627907  2442.        ],[56281.5        96070.01395349  2442.        ],"[56115.0, 95824.5488372093, 2442.0]","[56220.50000000002, 95984.29186046513, 2442.0]",73960712501809905,73960712501886255,648518346484795213,648518346494774179
5456,1388056,735491,18185590,18085023,[54732.07906977 98996.46046512  2341.        ],[54838.57906977 98991.9627907   2341.        ],"[54690.90813953489, 98970.42093023259, 2341.0]","[54796.90813953489, 98965.17558139536, 2341.0]",73890481129682835,73890481129702611,648518346503991848,648518346494774179
5457,1388072,735491,18185594,18109741,[53041.91395349 95729.0627907   2458.        ],[52869.41162791 95971.5627907   2458.        ],"[53022.65581395352, 95636.7511627907, 2458.0]","[52857.484883720936, 95877.68837209302, 2458.0]",73819975013676971,73819975013674545,648518346501741897,648518346494774179
5458,1388093,735491,18185599,18123888,[ 53104.49767442 107047.24651163   2570.        ],[ 53152.         106932.74418605   2570.        ],"[53022.74302325582, 107106.23953488372, 2570.0]","[53072.75, 106986.73255813956, 2570.0]",73820387397369679,73820387397479428,648518346481341285,648518346494774179
5459,1388124,735491,18185606,17769265,[ 54094.         104924.74418605   2684.        ],[ 53943.         104992.25581395   2684.        ],"[54047.250000000015, 104981.23837209304, 2684.0]","[53897.25, 105048.26162790699, 2684.0]",73890687422750050,73890687422538616,648518346477790990,648518346494774179
5460,1388136,735491,18185609,17768182,[54492.3627907  95378.25581395  2553.        ],[54407.25348837 95672.00465116  2553.        ],"[54455.08837209303, 95329.01744186049, 2553.0]","[54373.760465116284, 95615.26395348836, 2553.0]",73890343758071924,73890343758087790,648518346501741897,648518346494774179
5461,1388157,735491,18185614,18124005,[ 51894.91627907 107021.93953488   2494.        ],[ 52030.41860465 107100.4372093    2493.        ],"[51867.99883720932, 107061.31860465118, 2494.0]","[52000.00581395348, 107145.81162790698, 2493.0]",73820387330567927,73820387330560289,648518346493120498,648518346494774179
5462,1388168,735491,18185617,18092435,[57902.73255814 99933.39534884  3014.        ],[ 57997.23255814 100079.89069767   3014.        ],"[57837.46511627907, 99953.79069767441, 3014.0]","[57928.447674418625, 100101.4220930233, 3014.0]",74031218953641132,74031218953668787,648518346472449995,648518346494774179
5463,1388184,735491,18185621,18093997,[ 57765.34883721 102502.10697674   2362.        ],[ 57654.84651163 102564.60465116   2362.        ],"[57788.19767441861, 102510.46395348839, 2362.0]","[57677.19302325582, 102574.70930232559, 2362.0]",74031356057015278,74031356057020578,648518346495690128,648518346494774179
5464,1388199,735491,18185625,18134710,[62077.75348837 97670.91627907  2624.        ],[61983.74883721 97725.04651163  2624.        ],"[62088.256976744204, 97673.83255813955, 2624.0]","[61993.24767441861, 97726.34302325582, 2624.0]",74171887521177699,74171887521229287,648518346500283452,648518346494774179
5465,1388220,735491,18185630,18146180,[62370.10232558 97903.90232558  2740.        ],[62456.6        97967.40465116  2740.        ],"[62371.5569767442, 97930.70697674423, 2740.0]","[62458.45000000001, 97996.8093023256, 2740.0]",74171887588252553,74171887588239314,648518346491556776,648518346494774179
